<<<<<<< HEAD
Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/axi_ad9361_adc_enable_i0,i_system_wrapper/system_i/axi_ad9361_adc_valid_i0,i_system_wrapper/system_i/axi_ad9361_adc_data_i0[15:0],i_system_wrapper/system_i/axi_ad9361_adc_enable_q0,i_system_wrapper/system_i/axi_ad9361_adc_valid_q0,i_system_wrapper/system_i/axi_ad9361_adc_data_q0[15:0],i_system_wrapper/system_i/axi_ad9361_adc_enable_i1,i_system_wrapper/system_i/axi_ad9361_adc_valid_i1,i_system_wrapper/system_i/axi_ad9361_adc_data_i1[15:0],i_system_wrapper/system_i/axi_ad9361_adc_enable_q1,i_system_wrapper/system_i/axi_ad9361_adc_valid_q1,i_system_wrapper/system_i/axi_ad9361_adc_data_q1[15:0]
0,0,1,1,0,434,1,0,-373,1,0,11,1,0,-3
1,1,0,1,0,434,1,0,-373,1,0,11,1,0,-3
2,2,0,1,0,434,1,0,-373,1,0,11,1,0,-3
3,3,0,1,1,-133,1,1,267,1,1,22,1,1,1
4,4,0,1,0,-133,1,0,267,1,0,22,1,0,1
5,5,0,1,0,-133,1,0,267,1,0,22,1,0,1
6,6,0,1,0,-133,1,0,267,1,0,22,1,0,1
7,7,0,1,1,-293,1,1,542,1,1,14,1,1,-13
8,8,0,1,0,-293,1,0,542,1,0,14,1,0,-13
9,9,0,1,0,-293,1,0,542,1,0,14,1,0,-13
10,10,0,1,0,-293,1,0,542,1,0,14,1,0,-13
11,11,0,1,1,-406,1,1,907,1,1,-27,1,1,9
12,12,0,1,0,-406,1,0,907,1,0,-27,1,0,9
13,13,0,1,0,-406,1,0,907,1,0,-27,1,0,9
14,14,0,1,0,-406,1,0,907,1,0,-27,1,0,9
15,15,0,1,1,179,1,1,1021,1,1,-35,1,1,18
16,16,0,1,0,179,1,0,1021,1,0,-35,1,0,18
17,17,0,1,0,179,1,0,1021,1,0,-35,1,0,18
18,18,0,1,0,179,1,0,1021,1,0,-35,1,0,18
19,19,0,1,1,277,1,1,403,1,1,-14,1,1,-1
20,20,0,1,0,277,1,0,403,1,0,-14,1,0,-1
21,21,0,1,0,277,1,0,403,1,0,-14,1,0,-1
22,22,0,1,0,277,1,0,403,1,0,-14,1,0,-1
23,23,0,1,1,-641,1,1,-240,1,1,-17,1,1,-5
24,24,0,1,0,-641,1,0,-240,1,0,-17,1,0,-5
